date_time,Dry Bulb Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Direction [Deg],Global Horizontal Radiation [W/m2],Direct Normal Radiation [W/m2],Diffuse Horizontal Radiation [W/m2]
2018-01-01 01:00:00,-3.3,61.71,3.6,30.0,0.0,0.0,0.0
2018-01-01 02:00:00,-3.3,61.71,4.1,30.0,0.0,0.0,0.0
2018-01-01 03:00:00,-3.3,50.77,5.1,20.0,0.0,0.0,0.0
2018-01-01 04:00:00,-3.3,43.56,3.6,40.0,0.0,0.0,0.0
2018-01-01 05:00:00,-3.3,35.62,4.1,40.0,0.0,0.0,0.0
2018-01-01 06:00:00,-3.3,35.62,4.6,40.0,0.0,0.0,0.0
2018-01-01 07:00:00,-3.9,35.45,2.6,40.0,0.0,0.0,0.0
2018-01-01 08:00:00,-3.9,30.53,4.1,40.0,0.5,8.0,0.5
2018-01-01 09:00:00,-3.9,30.53,4.6,60.0,28.5,8.0,28.0
2018-01-01 10:00:00,-3.3,29.02,4.6,20.0,93.0,21.0,86.5
2018-01-01 11:00:00,-2.8,29.16,4.1,50.0,261.5,239.5,159.5
2018-01-01 12:00:00,-2.2,27.73,4.1,50.0,417.0,508.5,163.5
2018-01-01 13:00:00,-1.7,28.13,5.7,20.0,440.0,452.5,196.5
2018-01-01 14:00:00,-1.7,28.13,5.1,10.0,390.0,323.5,219.5
2018-01-01 15:00:00,-1.7,29.46,4.1,20.0,396.0,560.0,137.0
2018-01-01 16:00:00,-1.1,26.76,3.6,360.0,337.0,735.0,78.0
2018-01-01 17:00:00,-1.7,29.46,4.6,30.0,198.0,709.0,46.5
2018-01-01 18:00:00,-3.9,35.45,1.5,10.0,36.0,264.0,18.0
2018-01-01 19:00:00,-5.0,41.15,0.0,0.0,0.0,0.0,0.0
2018-01-01 20:00:00,-7.2,52.56,3.1,350.0,0.0,0.0,0.0
2018-01-01 21:00:00,-6.1,47.79,2.6,360.0,0.0,0.0,0.0
2018-01-01 22:00:00,-6.7,50.33,3.1,10.0,0.0,0.0,0.0
2018-01-01 23:00:00,-7.8,55.38,2.6,10.0,0.0,0.0,0.0
2018-01-02 00:00:00,-8.3,57.86,3.1,10.0,0.0,0.0,0.0
2018-01-02 01:00:00,-8.9,57.71,0.0,240.0,0.0,0.0,0.0
2018-01-02 02:00:00,-10.0,67.22,2.1,10.0,0.0,0.0,0.0
2018-01-02 03:00:00,-11.1,70.16,1.5,20.0,0.0,0.0,0.0
2018-01-02 04:00:00,-11.1,74.14,1.5,10.0,0.0,0.0,0.0
2018-01-02 05:00:00,-11.7,78.24,0.0,13.33,0.0,0.0,0.0
2018-01-02 06:00:00,-12.2,81.85,0.0,26.67,0.0,0.0,0.0
2018-01-02 07:00:00,-12.8,81.77,0.0,0.0,0.0,0.0,0.0
2018-01-02 08:00:00,-13.3,85.57,2.1,340.0,1.5,21.0,2.0
2018-01-02 09:00:00,-9.4,70.48,1.5,20.0,95.0,515.5,30.0
2018-01-02 10:00:00,-6.1,47.79,3.1,60.0,281.0,837.5,48.0
2018-01-02 11:00:00,-3.9,35.45,4.1,50.0,443.0,942.5,57.5
2018-01-02 12:00:00,-2.2,27.73,4.6,10.0,556.0,992.0,61.5
2018-01-02 13:00:00,-1.1,21.76,2.1,130.0,608.0,1012.0,62.0
2018-01-02 14:00:00,0.6,19.03,2.6,360.0,594.5,1010.0,60.0
2018-01-02 15:00:00,0.6,16.18,4.6,30.0,516.0,980.5,57.5
2018-01-02 16:00:00,0.6,16.18,2.1,80.0,381.5,913.5,52.5
2018-01-02 17:00:00,0.0,18.77,2.1,40.0,206.5,766.5,41.5
2018-01-02 18:00:00,-3.3,24.72,0.0,13.33,38.0,303.0,16.5
2018-01-02 19:00:00,-4.4,27.13,0.0,0.0,0.0,0.0,0.0
2018-01-02 20:00:00,-6.1,40.84,0.0,0.0,0.0,0.0,0.0
2018-01-02 21:00:00,-6.7,43.01,0.0,0.0,0.0,0.0,0.0
2018-01-02 22:00:00,-8.3,51.8,0.0,80.0,0.0,0.0,0.0
2018-01-02 23:00:00,-8.3,51.8,0.0,0.0,0.0,0.0,0.0
